,State,Member of Congress,Name,Party,Twitter,handle_raw,MarginOfVictory,YearsInOffice,follower_count,avg_tweet_per_week
0,Alabama,U.S. Senator,"Shelby, Richard",R,@SenShelby,SenShelby,28.1,35,96728,5.175737802165208
1,Alabama,U.S. Senator,"Tuberville, Tommy",R,@Ttuberville,SenTuberville,20.36,1,19208,15.319590686637994
2,Alaska,U.S. Senator,"Sullivan, Dan",R,@SenDanSullivan,SenDanSullivan,12.7,7,61873,7.177814029363784
3,Alaska,U.S. Senator,"Murkowski, Lisa",R,@lisamurkowski,lisamurkowski,15.2,20,330953,27.050274358594095
4,Arizona,U.S. Senator,"Kelly, Mark",D,@SenMarkKelly,SenMarkKelly,2.35,1,120759,14.370458253003113
5,Arizona,U.S. Senator,"Sinema, Kyrsten",D,@SenatorSinema,SenatorSinema,2.34,3,185904,19.16061100400415
6,Arkansas,U.S. Senator,"Cotton, Tom",R,@SenTomCotton,SenTomCotton,33.06,7,516601,17.73691235355183
7,Arkansas,U.S. Senator,"Boozman, John",R,@JohnBoozman,JohnBoozman,23.6,11,104903,17.395817885214296
8,California,U.S. Senator,"Feinstein, Dianne",D,@SenFeinstein,SenFeinstein,8.33,30,1494590,21.26649859113154
9,California,U.S. Senator,"Padilla, Alex",D,@KamalaHarris,KamalaHarris,23.1,1,19652962,9.47649414207326
10,Colorado,U.S. Senator,"Bennet, Michael",D,@MichaelBennet,SenatorBennet,5.7,13,311232,21.71140441939789
11,Colorado,U.S. Senator,"Hickenlooper, John",D,@SenatorHick,SenatorHick,9.32,1,29819,16.654308171437044
12,Connecticut,U.S. Senator,"Murphy, Chris",D,@ChrisMurphyCT,ChrisMurphyCT,20.18,9,1076635,31.588313806910868
13,Connecticut,U.S. Senator,"Blumenthal, Richard",D,@SenBlumenthal,SenBlumenthal,28.6,11,726168,30.23876612783627
14,Delaware,U.S. Senator,"Coons, Chris",D,@ChrisCoonsforDE,ChrisCoons,21.54,12,218492,17.395817885214296
15,Delaware,U.S. Senator,"Carper, Tom",D,@SenatorCarper,SenatorCarper,22.13,21,113936,15.556873795046714
16,Florida,U.S. Senator,"Rubio, Marco",R,@marcorubio,marcorubio,7.7,11,4374218,22.808838795788223
17,Florida,U.S. Senator,"Scott, Rick",R,@ScottforFlorida,SenRickScott,0.12,3,382637,44.75752632359483
18,Georgia,U.S. Senator,"Ossoff, Jon",D,@ossoff,ossoff,0.83,1,1250328,6.703247812546343
19,Georgia,U.S. Senator,"Warnock, Raphael",D,@ReverendWarnock,ReverendWarnock,1.68,1,1021853,13.792080676256857
20,Hawaii,U.S. Senator,"Schatz, Brian",D,@SenBrianSchatz,SenBrianSchatz,51.4,10,56407,4.078303425774878
21,Hawaii,U.S. Senator,"Hirono, Mazie",D,@maziehirono,maziehirono,42.3,9,511833,10.410796381432595
22,Idaho,U.S. Senator,"Risch, Jim",R,@SenatorRisch,SenatorRisch,29.38,13,113360,10.57392851846359
23,Idaho,U.S. Senator,"Crapo, Mike",R,@MikeCrapo,MikeCrapo,38.4,23,126364,13.999703396114487
24,Illinois,U.S. Senator,Tammy Duckwort,D,@SenDuckworth,SenDuckworth,15.1,5,766933,20.569479460180926
25,Illinois,U.S. Senator,"Durbin, Richard",D,@SenatorDurbin,SenatorDurbin,16.07,25,747441,35.6517870384102
26,Indiana,U.S. Senator,"Braun, Mike",R,@SenatorBraun,SenatorBraun,5.89,5,37167,16.87676108557022
27,Indiana,U.S. Senator,"Young, Todd",R,@SenToddYoung,SenToddYoung,9.7,5,68702,20.955064511345096
28,Iowa,U.S. Senator,"Grassley, Chuck",R,@ChuckGrassley,GrassleyPress,24.4,41,23323,15.111967966780364
29,Iowa,U.S. Senator,Joni Ernst,R,@SenJoniErnst,SenJoniErnst,6.59,7,135249,36.14118344950319
30,Kansas,U.S. Senator,"Marshall, Roger",R,@RogerMarshallMD,RogerMarshallMD,11.44,1,33435,25.774877650897224
31,Kansas,U.S. Senator,"Moran, Jerry",R,@JerryMoran,JerryMoran,29.9,11,118600,10.57392851846359
32,Kentucky,U.S. Senator,"Paul, Rand",R,@RandPaul,RandPaul,14.5,11,3776355,14.059024173216669
33,Kentucky,U.S. Senator,"McConnell, Mitch",R,@McConnellPress,McConnellPress,19.53,37,95326,19.48687527806614
34,Louisiana,U.S. Senator,"Kennedy, John",R,@JohnKennedyLA,SenJohnKennedy,21.3,5,327170,12.664985911315437
35,Louisiana,U.S. Senator,"Cassidy, Bill",R,@BillCassidy,SenBillCassidy,40.3,7,46488,26.175292896336938
36,Maine,U.S. Senator,Angus King,I,@SenAngusKing,SenAngusKing,19.08,9,253944,10.8408720154234
37,Maine,U.S. Senator,"Collins, Susan",R,@SenatorCollins,SenatorCollins,8.6,25,566337,4.701171585347768
38,Maryland,U.S. Senator,"Van Hollen, Chris",D,@ChrisVanHollen,ChrisVanHollen,25.2,5,195419,15.245439715260268
39,Maryland,U.S. Senator,"Cardin, Benjamin",D,@SenatorCardin,SenatorCardin,34.55,15,262576,20.85125315141628
40,Massachusetts,U.S. Senator,"Warren, Elizabeth",D,@SenWarren,SenWarren,24.16,9,7059235,27.42102921548272
41,Massachusetts,U.S. Senator,"Markey, Edward",D,@SenMarkey,SenMarkey,33.11,9,251412,28.54812398042414
42,Michigan,U.S. Senator,"Stabenow, Debbie",D,@SenStabenow,SenStabenow,6.51,21,148082,20.866083345691827
43,Michigan,U.S. Senator,"Peters, Gary",D,@SenGaryPeters,SenGaryPeters,1.69,7,147762,20.213554797567845
44,Minnesota,U.S. Senator,"Klobuchar, Amy",D,@amyklobuchar,amyklobuchar,24.1,15,1924291,29.734539522467742
45,Minnesota,U.S. Senator,"Smith, Tina",D,@SenTinaSmith,SenTinaSmith,5.25,4,94298,12.768797271244251
46,Mississippi,U.S. Senator,"Wicker, Roger",R,@SenatorWicker,SenatorWicker,19.02,15,107096,25.834198427999404
47,Mississippi,U.S. Senator,"Hyde-Smith, Cindy",R,@SenHydeSmith,SenHydeSmith,9.98,4,22988,13.317514459439417
48,Missouri,U.S. Senator,"Hawley, Josh",R,@HawleyMO,HawleyMO,5.81,3,816705,13.287854070888327
49,Missouri,U.S. Senator,"Blunt, Roy",R,@RoyBlunt,RoyBlunt,2.8,11,128515,19.056799644075337
50,Montana,U.S. Senator,"Tester, Jon",D,@SenatorTester,SenatorTester,3.55,15,137376,17.781402936378466
51,Montana,U.S. Senator,"Daines, Steve",R,@SteveDaines,SteveDaines,10.02,7,79344,19.42755450096396
52,Nebraska,U.S. Senator,"Sasse, Ben",R,@SenSasse,BenSasse,38.31,7,291309,0.044490582826635025
53,Nebraska,U.S. Senator,"Fischer, Deb",R,@SenatorFischer,SenatorFischer,19.06,9,102722,13.006080379652973
54,Nevada,U.S. Senator,"Rosen, Jacky",D,@SenJackyRosen,SenJackyRosen,5.03,3,46871,30.846804093133617
55,Nevada,U.S. Senator,"Cortez Mastro, Catherine",D,@SenCortezMasto,SenCortezMasto,2.4,5,62213,23.3278955954323
56,New Hampshire,U.S. Senator,"Shaheen, Jeanne",D,@SenatorShaheen,SenatorShaheen,15.65,13,130214,46.121904196944975
57,New Hampshire,U.S. Senator,"Hassan, Maggie",D,@Maggie_Hassan,SenatorHassan,0.1,5,162118,25.834198427999404
58,New Jersey,U.S. Senator,"Menendez, Robert",D,@SenatorMenendez,SenatorMenendez,11.18,16,210856,32.492955657719115
59,New Jersey,U.S. Senator,"Booker, Cory",D,@CoryBooker,SenBooker,16.31,9,204136,13.391665430817142
60,New Mexico,U.S. Senator,"Luján, Ben Ray",D,@SenatorLujan,SenatorLujan,6.11,1,39199,14.518760195758563
61,New Mexico,U.S. Senator,"Heinrich, Martin",D,@MartinHeinrich,MartinHeinrich,23.56,9,209039,19.086460032626427
62,New York,U.S. Senator,"Schumer, Chuck",D,@SenSchumer,SenSchumer,43.6,23,3404031,36.66024024914726
63,New York,U.S. Senator,"Gillibrand, Kirsten",D,@SenGillibrand,SenGillibrand,34.0,13,1595037,11.745513866231647
64,North Carolina,U.S. Senator,"Tillis, Thom",R,@SenThomTillis,SenThomTillis,1.75,7,128008,10.484947352810321
65,North Carolina,U.S. Senator,"Burr, Richard",R,@SenatorBurr,SenatorBurr,5.7,17,172555,0.0
66,North Dakota,U.S. Senator,"Hoeven, John",R,@SenJohnHoeven,SenJohnHoeven,61.5,11,118962,8.304908794305204
67,North Dakota,U.S. Senator,"Cramer, Kevin",R,@SenKevinCramer,SenKevinCramer,10.84,3,31386,24.351179000444905
68,Ohio,U.S. Senator,"Portman, Rob",R,@senrobportman,senrobportman,20.9,11,170761,42.42918582233427
69,Ohio,U.S. Senator,"Brown, Sherrod",D,@SenSherrodBrown,SenSherrodBrown,6.85,15,511452,10.692570072667952
70,Oklahoma,U.S. Senator,"Lankford, James",R,@SenatorLankford,SenatorLankford,43.2,7,117629,22.48257452172623
71,Oklahoma,U.S. Senator,"Inhofe, Jim",R,@JimInhofe,JimInhofe,30.16,28,95028,22.008008304908792
72,Oregon,U.S. Senator,"Wyden, Ron",D,@RonWyden,RonWyden,23.3,26,528430,17.944535073409458
73,Oregon,U.S. Senator,"Merkley, Jeff",D,@SenJeffMerkley,SenJeffMerkley,17.59,13,510330,33.75352217114044
74,Pennsylvania,U.S. Senator,"Toomey, Patrick",R,@SenToomey,SenToomey,1.4,11,191532,8.37905976568293
75,Pennsylvania,U.S. Senator,"Casey, Bob Jr.",D,@SenBobCasey,SenBobCasey,13.13,15,437525,31.543823224084232
76,Rhode Island,U.S. Senator,"Whitehouse, Sheldon",D,@SenWhitehouse,SenWhitehouse,23.11,15,539837,42.97790301052943
77,Rhode Island,U.S. Senator,"Reed, Jack",D,@SenJackReed,SenJackReed,33.12,25,111524,6.154530624351178
